left_spec_id,right_spec_id,label
buy.net//4233,buy.net//4236,0
buy.net//4233,buy.net//4239,0
buy.net//4239,buy.net//4236,1
buy.net//4247,buy.net//4255,1
buy.net//4247,buy.net//4258,1
buy.net//4258,buy.net//4261,0
buy.net//4261,buy.net//4247,0
buy.net//4261,buy.net//4266,0
buy.net//4258,buy.net//4266,1
buy.net//4236,buy.net//4272,0
buy.net//4266,buy.net//4272,1
www.garricks.com.au//31,www.ebay.com//53278,1
www.ebay.com//58782,www.ebay.com//24817,0
www.ebay.com//58782,www.ebay.com//43019,0
www.ebay.com//42055,www.ebay.com//54403,0
www.ebay.com//44280,buy.net//6145,0
www.ebay.com//42074,www.ebay.com//47107,0
www.ebay.com//42039,www.ebay.com//43213,0
www.mypriceindia.com//211,www.garricks.com.au//31,0
www.ebay.com//59297,www.priceme.co.nz//2246,0
www.ebay.com//58588,www.ebay.com//42196,0
www.ebay.com//54776,www.ebay.com//45946,0
www.shopbot.com.au//331,www.priceme.co.nz//1762,0
www.ebay.com//53871,www.shopbot.com.au//260,0
www.ebay.com//43741,www.ilgs.net//47,0
www.mypriceindia.com//211,www.ebay.com//43019,0
www.shopmania.in//1646,www.pricedekho.com//1088,0
www.ebay.com//46468,www.shopbot.com.au//1301,0
www.ebay.com//41954,www.ukdigitalcameras.co.uk//130,0
www.ebay.com//46524,www.ebay.com//44635,1
www.shopbot.com.au//331,www.mypriceindia.com//155,1
www.ebay.com//58704,www.ebay.com//54400,0
www.ebay.com//53871,www.ebay.com//57363,0
www.ebay.com//59061,www.ebay.com//55439,0
